year,comp_id,begin,end,amort,curr_assets,curr_liab,extra_exp,extra_inc,extra_profit_loss,fixed_assets,inc_bef_tax,intang_assets,inventories,liq_assets,material_exp,personnel_exp,profit_loss_year,sales,share_eq,subscribed_cap,tang_assets,balsheet_flag,balsheet_length,balsheet_notfullyear,founded_year,ceo_count,foreign,female,birth_year,inoffice_days,gender,origin,nace_main,ind2,ind,urban_m,region_m,founded_date,cagr_2y,fast_growth,sales_mil,sales_mil_log,sales_mil_log_sq,total_assets_bs,fixed_assets_bs,liq_assets_bs,curr_assets_bs,intang_assets_bs,share_eq_bs,subscribed_cap_bs,extra_exp_pl,extra_inc_pl,extra_profit_loss_pl,inc_bef_tax_pl,inventories_pl,material_exp_pl,profit_loss_year_pl,personnel_exp_pl,extra_profit_loss_pl_flag_low,extra_profit_loss_pl_flag_high,extra_profit_loss_pl_flag_zero,extra_profit_loss_pl_quad,inc_bef_tax_pl_flag_low,inc_bef_tax_pl_flag_high,inc_bef_tax_pl_flag_zero,inc_bef_tax_pl_quad,profit_loss_year_pl_flag_low,profit_loss_year_pl_flag_high,profit_loss_year_pl_flag_zero,profit_loss_year_pl_quad,share_eq_bs_flag_low,share_eq_bs_flag_high,share_eq_bs_flag_zero,share_eq_bs_quad,age,age2,new,ceo_age,flag_low_ceo_age,flag_high_ceo_age,flag_miss_ceo_age,ceo_young,foreign_management,ind2_cat,gender_m,m_region_loc,manufacturing_flg,services_flg,ind2_cat*age,ind2_cat*age2,ind2_cat*sales_mil_log,ind2_cat*ceo_age,ind2_cat*foreign_management,sales_mil_log*age,sales_mil_log*profit_loss_year_pl,sales_mil_log*foreign_management
2012,1001541.0,2012-01-01,2012-12-31,481.4814758300781,9629.6298828125,1303.7037353515625,0.0,0.0,0.0,190566.671875,-7696.29638671875,0.0,0.0,9048.1484375,8351.8515625,0.0,-7722.22216796875,1203.7037353515625,191262.96875,200740.734375,190566.671875,0.0,365.0,0.0,2008.0,1.0,0.0,0.0,1974.0,3222.0,male,Domestic,5610.0,56.0,3.0,3.0,Central,2008-02-24,1.0153258234002176,1,0.0012037037353515626,-6.722352029358707,45.190016806623134,200196.3017578125,0.9518990620792689,0.04519638154178292,0.048100937920731154,0.0,0.9553771326973882,1.0027194938787936,0.0,0.0,0.0,-3.0339728909323673,0.0,6.938461115650436,-3.006383669124336,0.0,0,0,1,0.0,1,0,0,9.204991502912506,1,0,0,9.038342765977506,0,0,0,0.912745465681083,4.0,16.0,0,38.0,0,0,0,1,0.0,56.0,male,Central,0,1,224.0,896.0,-376.4517136440876,2128.0,0.0,-26.88940811743483,20.209969359168856,-0.0
2012,1002029.0,2012-01-01,2012-12-31,14929.6298828125,203885.1875,120444.453125,0.0,0.0,0.0,23459.259765625,11818.5185546875,0.0,677.7777709960938,15077.77734375,984270.375,41037.03515625,9722.22265625,1136514.875,93144.4453125,11111.111328125,23459.259765625,0.0,365.0,0.0,2006.0,2.0,0.0,0.0,1975.0,3101.0,male,Domestic,2711.0,27.0,2.0,3.0,East,2006-07-03,-0.5632892790143816,0,1.136514875,0.1279664526541966,0.01637541300489874,227344.447265625,0.10318818008436177,0.06632129143727626,0.8968118199156382,0.0,0.4097062691998445,0.04887346694306101,0.0,0.0,0.0,0.010398912336882084,0.0005963650682496291,0.8660426683812651,0.00855441743008423,0.03610778535234745,0,0,1,0.0,0,0,0,0.00010813737779015842,0,0,0,7.317805756812889e-05,0,0,0,0.16785922702165543,6.0,36.0,0,37.0,0,0,0,1,0.0,27.0,male,East,1,0,162.0,972.0,3.455094221663308,999.0,0.0,0.7677987159251796,0.0010946784530511077,0.0
2012,1011889.0,2012-01-01,2012-12-31,36625.92578125,160166.671875,18911.111328125,0.0,0.0,0.0,933574.0625,96751.8515625,1537.0369873046875,11866.6669921875,131766.671875,204659.265625,92614.8125,96751.8515625,433666.65625,1071011.125,17481.482421875,932037.0625,0.0,365.0,0.0,1992.0,1.0,0.0,0.0,1946.0,6198.0,male,Domestic,5510.0,55.0,3.0,2.0,West,1992-11-09,0.04421019441051732,0,0.43366665625,-0.8354791131577264,0.6980253485228209,1093740.734375,0.8535606594495865,0.12047340629614191,0.14643934055041352,0.0014053028647442686,0.9792184668078688,0.01598320504343701,0.0,0.0,0.0,0.2231018921286965,0.02736356789521445,0.4719276030920351,0.2231018921286965,0.21356221688994564,0,0,1,0.0,0,0,0,0.04977445427140453,0,0,0,0.04977445427140453,0,0,0,0.9588688057375533,20.0,400.0,0,66.0,0,0,0,0,0.0,55.0,male,West,0,1,1100.0,22000.0,-45.95135122367495,3630.0,0.0,-16.709582263154527,-0.1863969709794941,-0.0
2012,1014183.0,2012-01-01,2012-12-31,12551.8515625,199903.703125,8274.07421875,0.0,7.407407283782959,7.407407283782959,118229.6328125,-1429.629638671875,0.0,0.0,18585.185546875,66744.4453125,55711.109375,-2351.851806640625,129729.6328125,309885.1875,11111.111328125,118229.6328125,0.0,365.0,0.0,2001.0,1.0,0.0,0.0,1946.0,3594.0,male,Domestic,5510.0,55.0,3.0,2.0,Central,2001-12-21,-0.11742312645375319,0,0.1297296328125,-2.0423027418009707,4.171000489167763,318133.3359375,0.3716354731078142,0.05841948468589981,0.6283645268921858,0.0,0.9740732972443968,0.03492595736747271,0.0,5.7098807135984e-05,5.7098807135984e-05,-0.011020070030862864,0.0,0.5144888169765087,-0.01812887121972964,0.429440122254258,0,0,0,3.260273776352297e-09,0,0,0,0.00012144194348512185,0,0,0,0.00032865597170154157,0,0,0,0.9488187884045711,11.0,121.0,0,66.0,0,0,0,0,0.0,55.0,male,Central,0,1,605.0,6655.0,-112.32665079905338,3630.0,0.0,-22.465330159810676,0.03702464339781055,-0.0
2012,1018301.0,2012-01-01,2012-12-31,0.0,1811.111083984375,592.5925903320312,0.0,11.11111068725586,11.11111068725586,52155.5546875,-1096.2962646484375,118.51851654052734,496.2962951660156,1314.8148193359375,3325.926025390625,3407.407470703125,-1107.4073486328125,6722.22216796875,10781.4814453125,11111.111328125,52037.03515625,0.0,365.0,0.0,2004.0,2.0,0.0,0.5,1961.5,1246.5,mix,Domestic,5630.0,56.0,3.0,2.0,Central,2004-06-29,0.16230985234171857,0,0.00672222216796875,-5.002336499352325,25.023370452752477,53966.665771484375,0.9664401893633133,0.024363462158351033,0.03355981063668666,0.002196143023591273,0.19978038834130388,0.20588841591907345,0.0,0.00165289251227073,0.00165289251227073,-0.1630853960573137,0.07382920152964555,0.4947658590099259,-0.164738284597255,0.5068870658484558,0,0,0,2.732053657120645e-06,0,0,0,0.02659684640717087,0,0,0,0.027138702412046186,0,0,0,0.03991220356580218,8.0,64.0,0,50.5,0,0,0,0,0.0,56.0,mix,Central,0,1,448.0,3584.0,-280.13084396373023,2828.0,0.0,-40.0186919948186,0.8240763338815397,-0.0
2012,1022796.0,2012-01-01,2012-12-31,688.888916015625,6166.66650390625,6792.5927734375,0.0,0.0,0.0,5133.33349609375,-1262.9630126953125,0.0,555.5555419921875,3133.333251953125,17629.62890625,8070.37060546875,-1311.111083984375,26096.296875,3718.5185546875,3703.70361328125,5133.33349609375,0.0,365.0,0.0,2001.0,1.0,0.0,0.0,1969.0,5201.0,male,Domestic,5630.0,56.0,3.0,1.0,Central,2001-02-01,0.3369357121294372,1,0.026096296875,-3.6459618569036265,13.29303786199614,11300.0,0.4542773005392699,0.277286128491427,0.54572269946073,0.0,0.32907243846792034,0.3277613817063053,0.0,0.0,0.0,-0.048396254025804664,0.02128867343337147,0.6755605590592056,-0.05024126948986416,0.3092534793011221,0,0,1,0.0,0,0,0,0.002342197403730214,0,0,0,0.0025241851599531553,0,0,0,0.10828866975922322,11.0,121.0,0,43.0,0,0,0,0,0.0,56.0,male,Central,0,1,616.0,6776.0,-204.1738639866031,2408.0,0.0,-40.10558042593989,0.18317775220246066,-0.0
2012,1035705.0,2012-01-01,2012-12-31,251.8518524169922,3355.5556640625,3059.25927734375,0.0,0.0,0.0,0.0,-7992.5927734375,0.0,2796.29638671875,262.96295166015625,24588.888671875,7411.111328125,-8000.0,24025.92578125,296.2962951660156,11111.111328125,0.0,0.0,365.0,0.0,2011.0,2.0,0.5,0.0,1973.0,1040.0,male,mix,5630.0,56.0,3.0,2.0,East,2011-10-26,0.052059416690240834,0,0.02402592578125,-3.728621790789115,13.902620458747426,3355.5556640625,0.0,0.07836644001363177,1.0,0.0,0.0883002175583927,3.3112582357441847,0.0,0.0,0.0,-0.33266534019159316,0.11638662385700863,1.023431475471565,-0.33297364159191967,0.3084630908961137,0,0,1,0.0,0,0,0,0.1106662285647884,0,0,0,0.11087144599498418,0,0,0,0.007796928420859482,1.0,1.0,1,39.0,0,0,0,1,1.0,56.0,male,East,0,1,56.0,56.0,-208.80282028419043,2184.0,56.0,-3.728621790789115,1.2415327757980366,-3.728621790789115
2012,1046213.0,2012-01-01,2012-12-31,66944.4453125,2406474.0,1225500.0,19877.77734375,0.0,-19877.77734375,1434974.125,124362.9609375,0.0,1866107.375,3659.25927734375,3342996.25,1924614.875,110022.21875,5389781.5,2482377.75,22962.962890625,1434974.125,0.0,365.0,0.0,1998.0,1.0,1.0,0.0,1941.0,3469.0,male,Foreign,2920.0,29.0,1.0,3.0,Central,1998-04-07,0.24897515291113081,1,5.3897815,1.6845048460658223,2.8375565764192396,3841448.125,0.3735503066307839,0.0009525728731124671,0.6264496933692161,0.0,0.6462088434423412,0.00597768397318264,0.0036880488279070313,0.0,-0.0036880488279070313,0.02307384092240103,0.34623061714097314,0.6202470823724486,0.02041311298983085,0.35708588093970045,0,0,0,1.3601704157026427e-05,0,0,0,0.0005324021349122684,0,0,0,0.000416695181935601,0,0,0,0.4175858693430882,14.0,196.0,0,71.0,0,0,0,0,1.0,29.0,male,Central,1,0,406.0,5684.0,48.850640535908845,2059.0,29.0,23.583067844921512,0.03438598775465925,1.6845048460658223
2012,1070690.0,2012-01-01,2012-12-31,0.0,8500.0,1259.25927734375,0.0,0.0,0.0,0.0,2107.407470703125,0.0,0.0,8500.0,937.0370483398435,1444.4444580078125,2000.0,5388.888671875,8270.3701171875,7407.4072265625,0.0,0.0,365.0,0.0,2010.0,1.0,0.0,0.0,1961.0,464.0,male,Domestic,5610.0,56.0,3.0,1.0,Central,2010-11-03,0.42607046480510213,1,0.005388888671875,-5.223416098645538,27.284075739589376,8500.0,0.0,1.0,1.0,0.0,0.9729847196691176,0.8714596737132353,0.0,0.0,0.0,0.3910653195902593,0.0,0.17388317061183833,0.37113403556435387,0.26804125042450266,0,0,1,0.0,0,0,0,0.15293208418623164,0,0,0,0.13774047235428308,0,0,0,0.9466992647095913,2.0,4.0,0,51.0,0,0,0,0,0.0,56.0,male,Central,0,1,112.0,224.0,-292.51130152415016,2856.0,0.0,-10.446832197291076,-1.9385874961221317,-0.0
2012,1109346.0,2012-01-01,2012-12-31,111.1111068725586,16314.814453125,1374.0740966796875,0.0,0.0,0.0,466.6666564941406,1137.0369873046875,0.0,0.0,13762.962890625,11014.814453125,21737.037109375,1003.7036743164062,33796.296875,15174.07421875,1851.851806640625,466.6666564941406,0.0,365.0,0.0,2008.0,1.0,0.0,0.0,1974.0,1995.0,male,Domestic,2732.0,27.0,2.0,2.0,Central,2008-02-13,-0.14619305986210673,0,0.033796296875,-3.387404042406532,11.474506146512114,16781.48110961914,0.02780843082000953,0.8201280209251657,0.9721915691799905,0.0,0.904215433645617,0.11035091566376368,0.0,0.0,0.0,0.03364383356881278,0.0,0.3259177919363392,0.029698628758906186,0.6431780733188686,0,0,1,0.0,0,0,0,0.0011319075372059736,0,0,0,0.0008820085501593295,0,0,0,0.8176055504429312,4.0,16.0,0,38.0,0,0,0,1,0.0,27.0,male,Central,1,0,108.0,432.0,-91.45990914497636,1026.0,0.0,-13.549616169626129,-0.10060125511184971,-0.0
